pid,A,B,C,D,E,F,G,H,I,ALL,Ap,Bp,Cp,Dp,Ep,Fp,Gp,Hp,Ip,Ae,Be,Ce,De,Ee,Fe,Ge,He,Ie,Aa,Ba,Ca,Da,Ea,Fa,Ga,Ha,Ia
100741,0,0,9,3,0,0,0,11,0,23,0.992069599,0.927942571,0.802541148,0.877245985,0.943253468,0.844709517,0.930309965,0.752314768,0.905577439,11,5,9,6,1,8,1,13,1,0,1,7,3,1,4,1,8,0
100756,0,5,1,0,7,0,0,0,0,13,0.996104271,0.870750745,0.887703142,0.82701311,0.881474925,0.917213617,0.983437615,0.876474008,0.93389941,4,4,2,6,1,2,0,2,0,0,3,1,4,1,0,0,0,0
100764,0,0,13,0,0,0,0,5,0,18,0.996243267,0.901531672,0.771142123,0.909808757,0.963456284,0.855837753,0.921070353,0.815430787,0.926072203,7,3,5,2,0,5,2,8,2,0,0,3,0,0,2,1,2,0
100775,1,0,11,1,0,12,0,10,0,35,0.992007558,0.936241656,0.877067853,0.895051709,0.943647541,0.893563869,0.938317384,0.840705369,0.928133627,12,4,5,8,1,7,4,12,1,0,1,2,2,0,1,0,6,0
100869,0,0,5,0,0,0,0,5,0,10,0.986927211,0.94661215,0.878375682,0.887921814,0.929303279,0.902389078,0.941076555,0.807688962,0.935070093,4,1,1,1,1,2,0,3,0,0,0,0,1,0,0,0,3,0
100928,15,0,1,0,0,0,0,16,0,32,0.994685531,0.916164676,0.91988476,0.88332654,0.956849812,0.906425219,0.950373804,0.736382556,0.923649416,15,4,3,6,0,2,1,16,1,0,1,1,2,0,1,1,13,0
101078,0,1,3,0,0,1,0,3,1,9,0.993978628,0.870593713,0.852457181,0.854886597,0.961672738,0.890026545,0.934343434,0.82668414,0.894139397,2,3,1,4,0,1,0,3,2,0,1,1,2,0,1,0,2,1
101094,1,0,2,6,0,1,0,2,3,15,0.987312312,0.861284457,0.872642335,0.8396301,0.937431694,0.904687144,0.892317916,0.779238468,0.860366336,5,6,1,8,2,2,1,5,2,0,3,1,6,0,0,1,2,2
101153,22,0,6,1,0,2,0,18,0,49,0.98636932,0.85908662,0.891023905,0.845125643,0.923476358,0.87711619,0.939467174,0.809195792,0.905426841,4,17,4,20,3,9,5,12,4,0,6,1,8,0,0,0,5,0
101206,0,0,5,0,0,0,0,17,0,22,0.987535987,0.861442254,0.850648949,0.869474084,0.954545455,0.867567927,0.930730753,0.83041003,0.926658699,7,5,4,6,0,5,3,8,1,0,1,2,1,0,0,1,2,1
101222,5,0,6,1,0,3,0,14,0,29,0.9939998,0.873452454,0.834305868,0.857058109,0.938713021,0.846834177,0.957350272,0.752556326,0.930337886,7,8,7,7,2,10,0,15,1,0,1,4,1,0,4,0,6,0
101275,0,0,0,1,0,0,0,2,0,3,0.988198198,0.92211838,0.937323944,0.80576324,0.887636612,0.982935154,0.923444976,0.753128555,0.935046729,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
101310,0,1,0,0,1,0,1,0,0,3,0.995045045,0.875389408,0.897652582,0.892523364,0.93852459,0.806598407,0.888357257,0.76128176,0.96105919,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
101436,7,0,1,0,0,12,0,22,0,42,0.995645504,0.864256113,0.917593089,0.850630395,0.941647151,0.901504686,0.970752639,0.826993739,0.941525076,8,15,3,11,2,7,2,10,3,0,5,0,5,0,2,1,2,1
101465,10,1,9,0,0,0,0,12,0,32,0.990193019,0.866758209,0.915419426,0.85543122,0.955034671,0.881790387,0.93435631,0.851659849,0.899807017,11,11,0,10,1,6,3,5,3,0,3,0,3,0,1,1,0,1
101467,14,0,0,0,0,0,0,0,0,14,0.991692854,0.885400772,0.858138481,0.842350631,0.909762881,0.87134731,0.949111415,0.864307384,0.90645775,6,4,3,5,1,3,1,2,0,0,2,1,4,0,0,0,0,0
101493,0,0,3,4,0,0,0,4,1,12,0.991968531,0.856159944,0.850704225,0.820891715,0.912980988,0.877749336,0.990031898,0.787679142,0.927218228,2,5,1,4,0,0,0,3,1,0,3,1,2,0,0,0,1,1
101497,0,0,0,0,0,0,0,0,3,3,0.981668643,0.828660436,0.895707579,0.894859813,0.93852459,0.874857793,0.848484848,0.882555935,0.790238837,0,2,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,1
103020,3,0,4,0,0,0,0,6,0,13,0.988236184,0.880853103,0.805527868,0.903920612,0.915037831,0.805705785,0.94902466,0.76550844,0.962347232,3,1,3,0,0,4,0,5,0,0,0,3,0,0,1,0,5,0
103048,0,0,2,0,0,0,0,4,0,6,1,0.92211838,0.903755869,0.848130841,0.982923497,0.911831627,0.95215311,0.741183163,0.938688591,3,1,1,3,0,0,0,3,0,0,0,0,1,0,0,0,1,0
103084,4,0,0,1,0,0,0,0,0,5,0.998648649,0.937196262,0.898591549,0.835925234,1,0.914675768,0.923444976,0.754468076,0.898813201,3,1,0,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0
103104,0,0,6,12,0,1,0,18,0,37,0.988828167,0.846408988,0.892687549,0.820661304,0.937409373,0.860318957,0.944937282,0.76324525,0.929951828,10,11,6,16,2,10,3,14,1,0,8,1,13,1,2,1,10,0
103236,0,0,9,0,0,1,0,19,0,29,0.996757872,0.933660973,0.873247674,0.890875399,0.989400791,0.911115111,0.960251334,0.750739295,0.90818048,12,5,7,6,1,5,2,18,1,0,0,2,0,0,1,0,3,0
103271,3,0,3,0,0,0,0,8,0,14,0.992053193,0.942873832,0.910798122,0.888420672,0.915459114,0.863968796,0.945659604,0.777316845,0.958277704,5,3,2,3,0,2,1,6,1,0,0,0,0,0,0,1,3,0
103328,0,0,1,1,1,0,0,2,0,5,0.985648649,0.914719626,0.921126761,0.894937695,1,0.870307167,0.944019139,0.777787258,0.929887968,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
103349,0,0,2,0,0,1,0,1,0,4,0.998776794,0.86291618,0.878935377,0.804024414,0.974385246,0.829778157,0.934210526,0.878412969,0.918493137,3,2,0,3,0,1,0,1,0,0,1,0,1,0,1,0,0,0
104001,34,0,1,0,0,0,0,0,0,35,0.995673535,0.883293598,0.897317514,0.85935424,0.932196526,0.913091175,0.958643199,0.834296238,0.932352115,10,10,4,12,0,8,3,8,1,0,1,0,2,0,0,0,1,0
104030,5,0,6,0,0,0,1,27,0,39,0.992125681,0.918495886,0.914022466,0.893945346,0.956686983,0.871376481,0.947669509,0.783966666,0.940756031,13,6,5,4,0,11,2,18,1,0,1,0,2,0,2,1,9,0
104126,3,0,0,0,0,0,0,2,0,5,0.990540541,0.906542056,0.963380282,0.836448598,0.979508197,0.914675768,0.980861244,0.808631509,0.851112501,1,2,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0
104130,32,2,0,0,0,0,1,1,0,36,0.993635895,0.914263422,0.920248711,0.903934469,0.935621585,0.89133959,0.950937555,0.857860241,0.923711073,10,6,2,8,2,5,2,9,2,0,2,0,2,0,0,1,1,1
104182,0,0,5,0,0,0,0,14,0,19,0.997918306,0.904820462,0.89729334,0.894681663,0.935181191,0.857230106,0.935784437,0.755006725,0.914757272,6,2,3,3,1,3,1,8,3,0,1,2,0,0,1,1,1,0
104370,0,0,6,0,0,0,0,2,0,8,0.993355633,0.940303738,0.840895614,0.912923924,0.90727459,0.850767918,0.950119617,0.799185797,0.918493137,3,0,3,1,1,1,0,3,1,0,0,2,1,0,1,0,2,0
104386,8,0,3,0,0,0,0,12,0,23,0.994188084,0.883645072,0.89601325,0.856367304,0.952972796,0.901914231,0.941004596,0.753657804,0.927872081,6,5,2,6,0,2,2,10,2,0,1,0,1,0,0,1,8,0
104702,1,0,0,1,0,0,0,4,1,7,0.996121428,0.842419522,0.94896522,0.804120139,0.972482436,0.938078986,0.965083162,0.755800964,0.890162372,2,0,0,1,0,0,0,3,1,0,1,0,1,0,0,0,1,0
104743,0,0,0,0,0,0,8,5,0,13,0.99439812,0.948867721,0.913732394,0.868080518,0.952711223,0.920526572,0.927922954,0.763427207,0.917303544,4,1,0,1,1,1,2,6,1,0,0,0,0,0,0,1,2,0
104755,3,0,4,15,0,0,0,10,2,34,0.994371565,0.880951754,0.890214099,0.807877213,0.93846432,0.876018614,0.948156487,0.798418068,0.928328505,12,12,4,16,0,5,3,11,2,0,8,3,12,0,2,1,4,0
104861,31,0,0,0,0,0,0,0,0,31,0.99530363,0.907482378,0.909575884,0.868074719,0.936387273,0.923593526,0.942365077,0.862761079,0.919066665,8,8,2,7,2,4,4,7,2,0,1,0,1,0,0,0,0,0
104928,0,0,17,4,0,0,0,5,0,26,0.99382953,0.876954529,0.809606212,0.863466254,0.980296343,0.87786742,0.939903846,0.855746905,0.893539914,8,9,6,13,0,4,2,7,3,0,1,4,0,0,3,0,3,0
105014,20,0,7,1,0,1,0,14,0,43,0.996035162,0.888006231,0.886429477,0.853623125,0.960255433,0.893959838,0.93424489,0.822529401,0.926956131,9,11,3,11,1,8,4,15,2,0,3,0,5,0,1,1,3,0
106005,6,0,5,1,0,0,0,7,0,19,0.996812978,0.934294506,0.889615646,0.86642205,0.922427739,0.890904736,0.951932763,0.842772296,0.935933664,4,2,2,3,0,2,1,4,1,0,1,1,3,0,1,0,0,0
106047,15,0,1,0,0,2,0,0,1,19,0.994007504,0.942326611,0.912688411,0.892843089,0.905468076,0.869768277,0.963485268,0.826264894,0.934877863,6,1,1,5,0,2,1,5,0,0,0,0,1,0,0,0,1,0
106115,0,0,1,2,0,0,0,0,0,3,0.97784819,0.796042872,0.870892019,0.936266874,0.93852459,0.879408419,0.927432217,0.757272636,0.95288162,2,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
106178,1,0,1,1,0,0,0,3,1,7,0.995130654,0.909740765,0.857344064,0.894287622,0.955503513,0.886901259,0.91114149,0.846103757,0.90987984,2,2,1,2,0,3,1,2,0,0,0,1,0,0,2,0,1,0
106195,0,0,0,1,0,0,0,1,0,2,1,0.88317757,0.873239437,0.88317757,1,0.889078498,1,0.78668942,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
106314,0,7,3,1,1,0,3,8,0,23,0.993930147,0.896468238,0.903902613,0.85906939,0.959328225,0.935450364,0.916788017,0.768592345,0.94088212,9,4,2,6,0,2,3,9,2,0,3,1,5,0,1,3,5,0
106365,39,0,2,0,0,0,0,2,0,43,0.995146451,0.894513708,0.890217697,0.859899673,0.956157072,0.884328499,0.955379993,0.893636799,0.921650253,10,11,2,16,2,4,0,3,0,0,4,0,4,0,1,0,2,0
106374,6,0,2,0,0,0,0,13,0,21,0.996812738,0.920536561,0.911741281,0.875823629,0.963895394,0.916363292,0.96388699,0.753328675,0.935175694,7,4,2,3,0,4,0,10,0,0,0,0,0,0,1,0,4,0
106413,0,0,0,0,5,0,0,0,0,5,0.996190476,0.88411215,0.907042254,0.845794393,0.856557377,0.860750853,1,0.812286689,1,2,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106512,2,1,1,1,0,0,0,3,0,8,0.991288007,0.866259179,0.920879443,0.887141382,0.953893443,0.821062896,0.908791866,0.834943461,0.941569315,0,2,1,1,0,4,0,2,0,0,0,0,0,0,0,0,1,0
106515,0,0,1,0,0,0,0,0,0,1,1,0.76635514,0.873239437,1,1,0.778156997,0.880382775,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106542,0,0,1,7,1,0,0,0,1,10,0.991609081,0.880589776,0.917676056,0.845246141,0.920081967,0.877730375,0.966507177,0.787517168,0.976635514,3,3,1,4,0,5,0,6,0,0,2,0,2,0,0,0,0,0
106588,0,0,9,0,0,0,0,12,0,21,0.991115675,0.889383993,0.869810254,0.88893566,0.951697892,0.88926694,0.926520848,0.8191032,0.942126539,6,8,2,6,1,6,2,7,1,0,0,1,0,0,2,0,2,0
106644,0,3,2,8,5,0,2,0,3,23,0.993326762,0.848372105,0.921529418,0.880168951,0.907475053,0.900016959,0.938360724,0.822966838,0.934359339,10,7,0,4,1,6,3,6,2,0,2,0,2,0,1,0,0,0
106672,3,0,0,0,0,0,0,1,2,6,0.987557038,0.893190921,0.873107394,0.846010337,0.93852459,0.852787258,0.905701754,0.909112503,0.939252336,1,0,1,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0
106677,4,0,1,1,0,4,0,3,0,13,0.992331424,0.849414604,0.908285181,0.844913731,0.908575032,0.906012077,0.987118145,0.747989771,0.955068296,5,3,2,3,0,4,0,8,0,0,0,1,0,0,0,0,1,0
106691,0,0,1,3,0,1,0,1,2,8,0.989036861,0.798884624,0.925273865,0.84928579,0.915471311,0.817064846,0.966507177,0.747151773,0.970794393,4,4,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0
106796,0,0,0,5,0,0,0,0,2,7,0.980932463,0.933244326,0.916532529,0.865003555,0.913446526,0.806171206,0.976076555,0.765311334,0.948367054,0,1,1,1,0,3,0,2,2,0,0,0,0,0,1,0,2,0
106816,6,0,1,0,0,0,0,1,0,8,0.993320999,0.850418614,0.868615338,0.83911361,0.929644809,0.797269625,0.907446172,0.78998464,0.956191589,4,3,1,2,0,3,1,2,1,0,0,1,1,0,1,0,0,0
106862,18,0,0,0,0,0,0,0,0,18,0.986502856,0.84205674,0.891974389,0.830257068,0.886797621,0.89051953,0.954279638,0.817520205,0.931931464,3,7,0,7,3,3,0,7,0,0,1,0,2,1,0,0,2,0
106877,0,0,1,0,0,0,0,0,1,2,0.981159044,0.88317757,0.779411765,0.864680685,1,0.732764505,0.909489633,0.896331058,0.933800623,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
