pro_id,time,status,line_ex,multi_br,br_ex,ave_price_ind,sum_disp,sum_flier,ave_PI,max_price,ave_disc
120,12,1,0,0,1,0.99375,0,0,0.500525,118,0.00625
121,11,1,1,0,0,1,0,0,0.458875,135,0
122,5,1,1,0,0,0.999,0,0,0.371125,135,0.001
123,50,1,0,1,0,1,0,0,0.269075,135,0
124,23,1,1,0,0,0.999,0,0,0.40155,135,0.001
125,52,0,0,0,1,0.92875,10,0,1.259625,95,0.07125
126,52,0,1,0,0,0.988,0,0,0.56105,90,0.012
127,39,1,1,0,0,0.98925,0,0,0.364125,90,0.01075
128,52,0,1,0,0,0.9895,0,0,0.4787,90,0.0105
129,52,0,1,0,0,1,0,0,0.48245,95,0
130,32,1,1,0,0,0.99775,0,0,0.1931,90,0.00225
131,52,0,1,0,0,1,0,0,0.14355,90,0
132,52,0,1,0,0,1,0,0,0.214875,90,0
133,40,1,1,0,0,1,0,0,0.374825,90,0
134,52,0,1,0,0,1,0,0,0.6796,90,0
135,24,1,1,0,0,0.94675,0,0,0.389,90,0.05325
136,50,1,1,0,0,1,0,0,0.63125,90,0
138,52,0,1,0,0,1,0,0,0.498625,90,0
140,52,0,1,0,0,1,0,0,0.087375,90,0
141,52,0,0,1,0,0.991,0,0,0.31555,90,0.009
142,52,0,1,0,0,1,0,0,0.697225,90,0
143,18,1,1,0,0,1,0,0,0.625725,95,0
144,52,0,1,0,0,1,0,0,0.2378,115,0
145,13,1,0,1,0,1,0,0,0.051975,195,0
146,26,1,1,0,0,1,0,0,0.021475,188,0
147,17,1,0,1,0,1,0,0,0.013825,148,0
148,28,1,0,0,1,1,0,0,0.0431,148,0
149,16,1,1,0,0,1,0,0,0.066925,148,0
151,52,0,1,0,0,1,0,0,1.646425,10,0
152,8,1,0,1,0,1,0,0,0.04845,48,0
155,52,0,1,0,0,1,0,0,0.0876,158,0
156,27,1,1,0,0,0.998,0,0,0.1226,158,0.002
157,52,0,1,0,0,0.9305,5,3,2.010925,88,0.0695
159,25,1,1,0,0,1,0,0,0.358025,118,0
160,25,1,0,1,0,0.9355,0,0,0.632925,98,0.0645
161,12,1,1,0,0,0.867,1,0,0.3086,98,0.133
163,34,1,0,1,0,0.99775,0,0,0.167875,115,0.00225
164,31,1,1,0,0,1,0,0,0.10655,115,0
165,52,0,1,0,0,1,0,0,0.5191,58,0
166,7,1,1,0,0,0.875,0,0,0.204725,118,0.125
168,40,1,1,0,0,0.722,12,0,0.3279,348,0.278
169,28,1,1,0,0,1,0,0,0.036925,298,0
170,52,0,0,0,0,1,0,0,0.242225,60,0
171,14,1,0,0,0,1,0,0,0.521875,60,0
172,39,1,0,1,0,1,0,0,0.16125,95,0
173,16,1,0,1,0,1,0,0,0.20425,95,0
174,37,1,1,0,0,1,0,0,0.441375,90,0
175,52,0,1,0,0,1,0,0,0.255925,90,0
176,46,1,0,1,0,0.851,25,0,2.57355,115,0.149
177,46,1,0,1,0,0.85075,16,0,1.1392,115,0.14925
178,46,1,0,1,0,0.81975,26,0,1.743425,95,0.18025
181,52,0,1,0,0,1,0,0,1.03575,10,0
182,52,0,1,0,0,1,0,0,0.0867,90,0
183,17,1,1,0,0,1,0,0,0.0234,235,0
184,27,1,1,0,0,0.98725,0,0,0.16795,78,0.01275
186,18,1,1,0,0,1,0,0,0.075225,95,0
187,21,1,0,0,0,1,0,0,0.10055,95,0
188,9,1,1,0,0,0.99725,25,0,0.1413,95,0.00275
190,19,1,0,1,0,1,0,0,0.14645,95,0
191,23,1,0,1,0,1,0,0,0.02565,188,0
195,26,1,0,1,0,0.92925,0,0,0.039975,188,0.07075
196,38,1,0,1,0,0.9935,0,0,0.149675,95,0.0065
197,17,1,0,1,0,0.9205,0,0,0.067475,188,0.0795
198,16,1,1,0,0,1,0,0,0.094075,90,0
199,37,1,1,0,0,1,0,0,0.13805,90,0
200,25,1,1,0,0,1,0,0,0.3336,90,0
201,22,1,0,1,0,1,0,0,0.141325,148,0
202,16,1,1,0,0,0.9935,0,0,0.0696,95,0.0065
203,44,1,1,0,0,1,0,0,0.056925,298,0
204,35,1,1,0,0,0.99725,0,0,0.658975,48,0.00275
205,24,1,1,0,0,1,0,0,0.072575,188,0
206,8,1,1,0,0,1,0,0,0.06735,78,0
207,52,0,1,0,0,1,0,0,0.1832,198,0
208,52,0,0,1,0,1,0,0,0.1661,198,0
209,52,0,0,1,0,0.91725,0,0,0.106325,278,0.08275
210,52,0,0,1,0,0.999,0,0,0.314125,208,0.001
211,36,1,0,1,0,1,0,0,0.0489,208,0
212,9,1,0,1,0,1,0,0,0.1547,98,0
213,52,0,1,0,0,1,0,0,0.027075,398,0
214,41,1,0,1,0,0.90725,25,5,7.3855,110,0.09275
215,8,1,0,1,0,1,0,0,0.12875,90,0
216,52,0,1,0,0,0.832,18,0,0.1952,298,0.168
217,52,0,1,0,0,0.892,20,0,0.425725,348,0.108
218,34,1,1,0,0,1,0,0,0.033325,368,0
219,7,1,1,0,0,0.6775,0,0,0.188325,368,0.3225
