"CM視聴率 CMリスト"
"企業名:","ホンダ/本田技研工業"
"商品名:","指定なし"
"CM秒数:","全CM"
"番組名:","指定なし"
"検索期間:","2016年4月1日(金) 05:00～2017年3月31日(金) 28:59"
"レポート作成日時:","2017年5月30日（火）14:03"
"放送:","地デジ 5放送"
"サンプル:","関東エリア","個人 5311","FC 295","FT 209","F1 481","F2 783","F3- 552","F3+ 306","MC 267","MT 210","M1 495","M2 823","M3- 586","M3+ 304","世帯 2045","","※期間内最新サンプル数"
""
"CM視聴率(開始時)"
"日付","曜日","開始時刻","秒数","企業","商品","個人全体","FC","FT","F1","F2","F3-","F3+","MC","MT","M1","M2","M3-","M3+","世帯","放送局","番組"
"2017/3/28","火","23:47:19","30","ホンダ/本田技研工業","フリード","1.4","0.3","0.5","1.0","1.5","2.4","2.6","0.0","0.5","0.0","1.7","2.6","1.3","2.7","TBS","ＮＥＷＳ２３"
"2017/3/28","火","23:29:35","15","ホンダ/本田技研工業","フィット","4.2","1.4","2.9","4.0","5.2","6.3","4.6","1.1","1.9","2.4","5.8","5.1","3.0","7.9","NTV","ＮＥＷＳＺＥＲＯ"
"2017/3/28","火","23:29:20","15","ホンダ/本田技研工業","ヴェゼル ハイブリッド","4.3","1.4","2.9","4.0","5.2","6.3","4.6","1.1","1.9","2.4","6.0","5.1","3.0","8.0","NTV","ＮＥＷＳＺＥＲＯ"
"2017/3/28","火","23:21:35","15","ホンダ/本田技研工業","フリード","2.0","0.0","0.0","0.4","1.4","2.2","2.3","0.0","0.5","1.6","3.3","3.6","5.6","4.1","TX","ワールドビジネスサテライト"
"2017/3/28","火","23:21:20","15","ホンダ/本田技研工業","フィット","2.2","0.3","0.0","0.4","1.9","2.4","2.3","0.4","0.5","1.6","3.4","3.6","5.9","4.2","TX","ワールドビジネスサテライト"
"2017/3/28","火","22:46:17","15","ホンダ/本田技研工業","フィット","1.4","0.0","0.0","0.2","0.5","2.4","2.0","0.0","1.0","1.0","1.6","2.7","4.9","2.8","TX","ガイアの夜明け"
"2017/3/28","火","22:46:02","15","ホンダ/本田技研工業","ヴェゼル ハイブリッド","1.4","0.0","0.0","0.2","0.5","2.2","2.0","0.0","1.0","1.0","1.6","2.6","4.9","2.7","TX","ガイアの夜明け"
"2017/3/28","火","21:36:31","15","ホンダ/本田技研工業","フリード","2.9","0.3","2.4","1.5","3.3","5.4","6.9","0.7","1.0","0.6","1.9","4.4","5.3","5.2","TBS","予約殺到！スゴ腕の専門外来スペシャル（８）"
"2017/3/28","火","21:36:16","15","ホンダ/本田技研工業","フィット","2.9","0.3","2.4","1.5","3.3","5.3","7.2","0.7","1.0","0.4","1.9","4.3","5.3","5.2","TBS","予約殺到！スゴ腕の専門外来スペシャル（８）"
"2017/3/28","火","20:23:09","15","ホンダ/本田技研工業","フィット","6.2","2.4","1.9","3.5","6.0","7.4","7.5","3.4","3.8","5.1","6.9","9.2","11.5","11.2","EX","２０１８ＦＩＦＡＷ杯ロシアアジア地区最終予選"
