StartDate,Geo,Query,Impressions,Clicks,Queries
2016-04-01,Japan / Tochigi (Prefecture),toyota,0,0,20
2016-04-01,Japan / Gunma (Prefecture),トヨタ,52,3,215
2016-04-01,Japan / Gunma (Prefecture),toyota,3,1,24
2016-04-01,Japan / Saitama (Prefecture),トヨタ,152,8,562
2016-04-01,Japan / Saitama (Prefecture),toyota,10,0,98
2016-04-01,Japan / Chiba (Prefecture),トヨタ,120,4,624
2016-04-01,Japan / Chiba (Prefecture),toyota,11,0,85
2016-04-01,Japan / Tokyo (Prefecture),トヨタ,610,12,3187
2016-04-01,Japan / Tokyo (Prefecture),toyota,31,0,493
2016-04-01,Japan / Kanagawa (Prefecture),トヨタ,663,15,1339
2016-04-01,Japan / Kanagawa (Prefecture),toyota,47,4,191
2016-04-02,Japan,トヨタ,5938,136,19446
2016-04-02,Japan,toyota,408,16,2283
2016-04-02,Japan / Ibaraki (Prefecture),トヨタ,92,1,388
2016-04-02,Japan / Ibaraki (Prefecture),toyota,6,0,47
2016-04-02,Japan / Tochigi (Prefecture),トヨタ,113,1,253
2016-04-02,Japan / Tochigi (Prefecture),toyota,20,2,32
2016-04-02,Japan / Gunma (Prefecture),トヨタ,61,2,282
2016-04-02,Japan / Gunma (Prefecture),toyota,3,0,23
2016-04-02,Japan / Saitama (Prefecture),トヨタ,327,7,799
2016-04-02,Japan / Saitama (Prefecture),toyota,14,1,89
2016-04-02,Japan / Chiba (Prefecture),トヨタ,244,3,740
2016-04-02,Japan / Chiba (Prefecture),toyota,17,0,94
2016-04-02,Japan / Tokyo (Prefecture),トヨタ,1009,16,3192
2016-04-02,Japan / Tokyo (Prefecture),toyota,64,4,476
2016-04-02,Japan / Kanagawa (Prefecture),トヨタ,317,14,1388
2016-04-02,Japan / Kanagawa (Prefecture),toyota,37,3,207
2016-04-03,Japan,トヨタ,5442,170,18497
2016-04-03,Japan,toyota,603,21,2826
2016-04-03,Japan / Ibaraki (Prefecture),トヨタ,99,3,350
2016-04-03,Japan / Ibaraki (Prefecture),toyota,10,0,60
2016-04-03,Japan / Tochigi (Prefecture),トヨタ,61,6,209
2016-04-03,Japan / Tochigi (Prefecture),toyota,8,0,39
2016-04-03,Japan / Gunma (Prefecture),トヨタ,56,1,240
2016-04-03,Japan / Gunma (Prefecture),toyota,3,0,26
2016-04-03,Japan / Saitama (Prefecture),トヨタ,213,3,663
2016-04-03,Japan / Saitama (Prefecture),toyota,20,0,140
2016-04-03,Japan / Chiba (Prefecture),トヨタ,209,8,693
2016-04-03,Japan / Chiba (Prefecture),toyota,27,0,95
2016-04-03,Japan / Tokyo (Prefecture),トヨタ,795,15,3512
2016-04-03,Japan / Tokyo (Prefecture),toyota,80,7,633
2016-04-03,Japan / Kanagawa (Prefecture),トヨタ,414,20,1385
2016-04-03,Japan / Kanagawa (Prefecture),toyota,86,1,240
2016-04-04,Japan,トヨタ,3558,106,18694
2016-04-04,Japan,toyota,414,15,3119
2016-04-04,Japan / Ibaraki (Prefecture),トヨタ,49,1,304
2016-04-04,Japan / Ibaraki (Prefecture),toyota,23,0,65
2016-04-04,Japan / Tochigi (Prefecture),トヨタ,70,5,225
2016-04-04,Japan / Tochigi (Prefecture),toyota,6,1,50
2016-04-04,Japan / Gunma (Prefecture),トヨタ,46,1,197
2016-04-04,Japan / Gunma (Prefecture),toyota,9,2,30
2016-04-04,Japan / Saitama (Prefecture),トヨタ,122,3,633
2016-04-04,Japan / Saitama (Prefecture),toyota,12,1,121
2016-04-04,Japan / Chiba (Prefecture),トヨタ,156,3,651
2016-04-04,Japan / Chiba (Prefecture),toyota,2,0,83
2016-04-04,Japan / Tokyo (Prefecture),トヨタ,463,12,3676
2016-04-04,Japan / Tokyo (Prefecture),toyota,51,3,787
2016-04-04,Japan / Kanagawa (Prefecture),トヨタ,397,13,1387
2016-04-04,Japan / Kanagawa (Prefecture),toyota,67,4,231
2016-04-05,Japan,トヨタ,3129,92,17123
2016-04-05,Japan,toyota,379,18,2838
2016-04-05,Japan / Ibaraki (Prefecture),トヨタ,92,2,279
2016-04-05,Japan / Ibaraki (Prefecture),toyota,5,0,30
2016-04-05,Japan / Tochigi (Prefecture),トヨタ,52,0,236
2016-04-05,Japan / Tochigi (Prefecture),toyota,4,0,50
2016-04-05,Japan / Gunma (Prefecture),トヨタ,31,3,188
2016-04-05,Japan / Gunma (Prefecture),toyota,1,0,38
2016-04-05,Japan / Saitama (Prefecture),トヨタ,111,5,531
2016-04-05,Japan / Saitama (Prefecture),toyota,10,0,128
2016-04-05,Japan / Chiba (Prefecture),トヨタ,125,1,585
2016-04-05,Japan / Chiba (Prefecture),toyota,2,0,93
2016-04-05,Japan / Tokyo (Prefecture),トヨタ,388,6,3337
2016-04-05,Japan / Tokyo (Prefecture),toyota,50,2,698
2016-04-05,Japan / Kanagawa (Prefecture),トヨタ,386,13,1267
2016-04-05,Japan / Kanagawa (Prefecture),toyota,90,3,241
2016-04-06,Japan,トヨタ,3312,93,17741
2016-04-06,Japan,toyota,291,15,2842
2016-04-06,Japan / Ibaraki (Prefecture),トヨタ,61,2,294
2016-04-06,Japan / Ibaraki (Prefecture),toyota,2,0,55
2016-04-06,Japan / Tochigi (Prefecture),トヨタ,23,1,194
2016-04-06,Japan / Tochigi (Prefecture),toyota,0,0,42
2016-04-06,Japan / Gunma (Prefecture),トヨタ,30,0,213
2016-04-06,Japan / Gunma (Prefecture),toyota,3,0,37
2016-04-06,Japan / Saitama (Prefecture),トヨタ,163,3,595
2016-04-06,Japan / Saitama (Prefecture),toyota,2,1,106
2016-04-06,Japan / Chiba (Prefecture),トヨタ,119,6,547
2016-04-06,Japan / Chiba (Prefecture),toyota,11,0,93
2016-04-06,Japan / Tokyo (Prefecture),トヨタ,430,14,3413
2016-04-06,Japan / Tokyo (Prefecture),toyota,43,3,695
2016-04-06,Japan / Kanagawa (Prefecture),トヨタ,365,7,1190
2016-04-06,Japan / Kanagawa (Prefecture),toyota,76,4,233
2016-04-07,Japan,トヨタ,3374,93,17099
2016-04-07,Japan,toyota,345,9,2991
2016-04-07,Japan / Ibaraki (Prefecture),トヨタ,63,1,310
2016-04-07,Japan / Ibaraki (Prefecture),toyota,3,0,57
2016-04-07,Japan / Tochigi (Prefecture),トヨタ,33,0,200
2016-04-07,Japan / Tochigi (Prefecture),toyota,1,0,48
2016-04-07,Japan / Gunma (Prefecture),トヨタ,47,4,191
2016-04-07,Japan / Gunma (Prefecture),toyota,0,0,32
2016-04-07,Japan / Saitama (Prefecture),トヨタ,129,2,569
2016-04-07,Japan / Saitama (Prefecture),toyota,10,0,110
2016-04-07,Japan / Chiba (Prefecture),トヨタ,133,4,516
2016-04-07,Japan / Chiba (Prefecture),toyota,10,0,105
2016-04-07,Japan / Tokyo (Prefecture),トヨタ,439,17,3317
2016-04-07,Japan / Tokyo (Prefecture),toyota,34,1,750
2016-04-07,Japan / Kanagawa (Prefecture),トヨタ,367,9,1284
2016-04-07,Japan / Kanagawa (Prefecture),toyota,59,3,238
2016-04-08,Japan,トヨタ,3963,101,17286
2016-04-08,Japan,toyota,375,12,2427
2016-04-08,Japan / Ibaraki (Prefecture),トヨタ,67,1,321
2016-04-08,Japan / Ibaraki (Prefecture),toyota,16,0,51
