StartDate	EndDate	Network/Property	GeoID	Geo	Query	Most-specific category ID	Most-specific category	Most-specific Brand	KG labels	Impressions	Clicks	Page CTR	Cost USD	CPC USD	RPMad	Queries	Matched Queries	Coverage	IPQ	Depth	qCTR	RPMq	RPMmq
2016-04-06	2016-04-06	Google search (excluding search partners)	20636	Japan / Tokyo (Prefecture)	suzuki	10182	/Vehicles/Motor Vehicles/Motorcycles	Brand	"/m/040fvmd,/m/02ws0w"	64	3	4.92	0.51	0.1704	7.9862	390	61	15.64	0.16	1.05	0.77	1.3106	8.3790
2016-04-06	2016-04-06	Google search (excluding search partners)	20637	Japan / Kanagawa (Prefecture)	スズキ	10960	/Vehicles/Motor Vehicles/Cars & Trucks/Vans & Minivans	Brand	"/m/02ws0w,/m/05q4nhj"	268	23	10.85	1.47	0.0638	5.4769	827	212	25.63	0.32	1.26	2.78	1.7749	6.9236
2016-04-06	2016-04-06	Google search (excluding search partners)	20637	Japan / Kanagawa (Prefecture)	suzuki	10182	/Vehicles/Motor Vehicles/Motorcycles	Brand	"/m/040fvmd,/m/02ws0w"	36	1	2.86	0.02	0.0183	0.5074	143	35	24.48	0.25	1.03	0.70	0.1277	0.5219
2016-04-07	2016-04-07	Google search (excluding search partners)	20631	Japan / Ibaraki (Prefecture)	スズキ	10960	/Vehicles/Motor Vehicles/Cars & Trucks/Vans & Minivans	Brand	"/m/02ws0w,/m/05q4nhj"	103	8	10.39	0.67	0.0839	6.5202	208	77	37.02	0.50	1.34	3.85	3.2288	8.7218
2016-04-07	2016-04-07	Google search (excluding search partners)	20631	Japan / Ibaraki (Prefecture)	suzuki	10182	/Vehicles/Motor Vehicles/Motorcycles	Brand	"/m/040fvmd,/m/02ws0w"	19	0	0.00	0.00	0.0000	0.0000	52	14	26.92	0.37	1.36	0.00	0.0000	0.0000
2016-04-07	2016-04-07	Google search (excluding search partners)	20632	Japan / Tochigi (Prefecture)	スズキ	10960	/Vehicles/Motor Vehicles/Cars & Trucks/Vans & Minivans	Brand	"/m/02ws0w,/m/05q4nhj"	66	3	6.00	0.17	0.0555	2.5236	142	50	35.21	0.46	1.32	2.11	1.1729	3.3311
2016-04-07	2016-04-07	Google search (excluding search partners)	20632	Japan / Tochigi (Prefecture)	suzuki	10182	/Vehicles/Motor Vehicles/Motorcycles	Brand	"/m/040fvmd,/m/02ws0w"	9	0	0.00	0.00	0.0000	0.0000	23	8	34.78	0.39	1.13	0.00	0.0000	0.0000
2016-04-07	2016-04-07	Google search (excluding search partners)	20633	Japan / Gunma (Prefecture)	スズキ	10960	/Vehicles/Motor Vehicles/Cars & Trucks/Vans & Minivans	Brand	"/m/02ws0w,/m/05q4nhj"	65	4	7.69	0.16	0.0392	2.4112	177	52	29.38	0.37	1.25	2.26	0.8855	3.0140
2016-04-07	2016-04-07	Google search (excluding search partners)	20633	Japan / Gunma (Prefecture)	suzuki	10182	/Vehicles/Motor Vehicles/Motorcycles	Brand	"/m/040fvmd,/m/02ws0w"	12	0	0.00	0.00	0.0000	0.0000	24	10	41.67	0.50	1.20	0.00	0.0000	0.0000
2016-04-07	2016-04-07	Google search (excluding search partners)	20634	Japan / Saitama (Prefecture)	スズキ	10960	/Vehicles/Motor Vehicles/Cars & Trucks/Vans & Minivans	Brand	"/m/02ws0w,/m/05q4nhj"	227	18	10.47	2.39	0.1325	10.5077	483	172	35.61	0.47	1.32	3.73	4.9384	13.8678
2016-04-07	2016-04-07	Google search (excluding search partners)	20634	Japan / Saitama (Prefecture)	suzuki	10182	/Vehicles/Motor Vehicles/Motorcycles	Brand	"/m/040fvmd,/m/02ws0w"	32	3	12.50	1.24	0.4141	38.8180	97	24	24.74	0.33	1.33	3.09	12.8059	51.7573
2016-04-07	2016-04-07	Google search (excluding search partners)	20635	Japan / Chiba (Prefecture)	スズキ	10960	/Vehicles/Motor Vehicles/Cars & Trucks/Vans & Minivans	Brand	"/m/02ws0w,/m/05q4nhj"	171	16	12.21	0.89	0.0558	5.2251	404	131	32.43	0.42	1.31	3.96	2.2116	6.8206
2016-04-07	2016-04-07	Google search (excluding search partners)	20635	Japan / Chiba (Prefecture)	suzuki	10182	/Vehicles/Motor Vehicles/Motorcycles	Brand	"/m/040fvmd,/m/02ws0w"	22	1	5.26	0.05	0.0461	2.0972	79	19	24.05	0.28	1.16	1.27	0.5840	2.4283
2016-04-07	2016-04-07	Google search (excluding search partners)	20636	Japan / Tokyo (Prefecture)	スズキ	10960	/Vehicles/Motor Vehicles/Cars & Trucks/Vans & Minivans	Brand	"/m/02ws0w,/m/05q4nhj"	670	51	8.78	4.83	0.0947	7.2076	2104	581	27.61	0.32	1.15	2.42	2.2952	8.3117
2016-04-07	2016-04-07	Google search (excluding search partners)	20636	Japan / Tokyo (Prefecture)	suzuki	10182	/Vehicles/Motor Vehicles/Motorcycles	Brand	"/m/040fvmd,/m/02ws0w"	71	1	1.54	0.02	0.0184	0.2587	391	65	16.62	0.18	1.09	0.26	0.0470	0.2826
2016-04-07	2016-04-07	Google search (excluding search partners)	20637	Japan / Kanagawa (Prefecture)	スズキ	10960	/Vehicles/Motor Vehicles/Cars & Trucks/Vans & Minivans	Brand	"/m/02ws0w,/m/05q4nhj"	404	27	9.00	1.98	0.0733	4.9016	974	300	30.80	0.41	1.35	2.77	2.0331	6.6009
2016-04-07	2016-04-07	Google search (excluding search partners)	20637	Japan / Kanagawa (Prefecture)	suzuki	10182	/Vehicles/Motor Vehicles/Motorcycles	Brand	"/m/040fvmd,/m/02ws0w"	56	6	15.79	1.12	0.1870	20.0322	169	38	22.49	0.33	1.47	3.55	6.6379	29.5212
2016-04-08	2016-04-08	Google search (excluding search partners)	20631	Japan / Ibaraki (Prefecture)	スズキ	10960	/Vehicles/Motor Vehicles/Cars & Trucks/Vans & Minivans	Brand	"/m/02ws0w,/m/05q4nhj"	68	5	9.43	0.24	0.0481	3.5339	192	53	27.60	0.35	1.28	2.60	1.2516	4.5340
2016-04-08	2016-04-08	Google search (excluding search partners)	20631	Japan / Ibaraki (Prefecture)	suzuki	10182	/Vehicles/Motor Vehicles/Motorcycles	Brand	"/m/040fvmd,/m/02ws0w"	14	3	33.33	0.87	0.2914	62.4527	25	9	36.00	0.56	1.56	12.00	34.9735	97.1487
2016-04-08	2016-04-08	Google search (excluding search partners)	20632	Japan / Tochigi (Prefecture)	スズキ	10960	/Vehicles/Motor Vehicles/Cars & Trucks/Vans & Minivans	Brand	"/m/02ws0w,/m/05q4nhj"	59	5	11.36	0.18	0.0370	3.1322	155	44	28.39	0.38	1.34	3.23	1.1923	4.2000
2016-04-08	2016-04-08	Google search (excluding search partners)	20632	Japan / Tochigi (Prefecture)	suzuki	10182	/Vehicles/Motor Vehicles/Motorcycles	Brand	"/m/040fvmd,/m/02ws0w"	9	1	16.67	0.02	0.0185	2.0542	23	6	26.09	0.39	1.50	4.35	0.8038	3.0813
2016-04-08	2016-04-08	Google search (excluding search partners)	20633	Japan / Gunma (Prefecture)	スズキ	10960	/Vehicles/Motor Vehicles/Cars & Trucks/Vans & Minivans	Brand	"/m/02ws0w,/m/05q4nhj"	71	12	22.64	0.57	0.0477	8.0637	152	53	34.87	0.47	1.34	7.89	3.7666	10.8023
