date,week,time,duration,product,person,FC,FT,F1,F2,F3-,F3p,MC,MT,M1,M2,M3-,M3p,family,network,program,Genre
2017/3/23,木,23,30,CX-5,2.1,0.7,1.9,1.6,1.8,2,1.9,0.7,0.5,1.8,2.3,3.9,3.6,3.8,CX,ユアタイム〜あなたの時間〜,News
2017/3/23,木,23,30,CX-5,1.8,0.3,0.5,1.4,1.5,2.2,3.6,0.7,0,1.4,1.7,3.2,2.9,3.4,TBS,ＮＥＷＳ２３,News
2017/3/23,木,23,30,CX-5,3.4,0.3,1,1.8,4.1,5,5.2,0,1.5,2.4,4.4,5.3,3.9,6.4,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/23,木,21,30,アクセラ,3.7,0.3,1,1.8,3.7,5.9,10.1,0.7,1.5,1.4,2.4,5.3,9.7,7.1,EX,報道ステーション,News
2017/3/23,木,17,30,CX-5,1.4,0,0.5,0,1.5,2.9,4.5,1.5,0,0.6,1.1,1.5,2.9,3.2,EX,スーパーＪチャンネル,News
2017/3/23,木,16,30,アクセラ,0.7,0,0,0,0.9,1.6,2.3,0.7,0.5,0.4,0.6,0.8,0.6,1.7,EX,スーパーＪチャンネル,News
2017/3/23,木,14,30,アクセラ,0.8,0.3,0,0.8,0.9,1.6,0.6,0.4,0,1,0.5,1.2,1.6,1.9,EX,Ｗ杯出場へ！今夜サッカー日本代表が決戦！,Sports
2017/3/23,木,14,15,CX-5,0.9,0.3,0,0.8,0.9,1.6,1,0.4,0,1,0.5,1.2,1.6,1.9,EX,Ｗ杯出場へ！今夜サッカー日本代表が決戦！,Sports
2017/3/23,木,14,30,CX-5,0.9,0.3,0,0.8,0.9,1.6,1.3,0.4,0,1,0.5,1.4,1.6,2,EX,Ｗ杯出場へ！今夜サッカー日本代表が決戦！,Sports
2017/3/23,木,12,30,CX-5,1.1,0.3,0,0.6,0.9,1.8,1,1.1,1,1,0.7,1.5,3.2,2.4,EX,２０１７ワールドベースボールクラシック決勝,Sports
2017/3/23,木,9,30,CX-5,2.3,0.3,0.5,0.8,2.2,4.1,5.8,0.7,1.5,1.6,1.1,2.9,6.8,4.5,EX,羽鳥慎一モーニングショー,Informative
2017/3/23,木,9,30,アクセラ,2.4,0.3,0.5,0.8,2.2,4.7,5.5,0.7,1.5,1.6,1,3.4,7.5,4.7,EX,羽鳥慎一モーニングショー,Informative
2017/3/23,木,9,30,企業,2.8,0.3,0.5,0.6,2.4,5.4,5.5,0.7,1.5,1.6,1.3,3.9,9.4,5.4,EX,羽鳥慎一モーニングショー,Informative
2017/3/22,水,24,30,CX-5,1.8,0.3,0.5,1.8,2.3,2.7,1,0.4,0.5,0.8,2.3,3.2,1.3,3.4,CX,ユアタイム〜あなたの時間〜,News
2017/3/22,水,23,30,企業,3.4,1.3,2.4,3.1,3.9,7.5,3.9,0.7,2,1.6,3.9,3.6,2.6,6.2,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/22,水,23,30,企業,1.6,0,0,0.6,0.9,2.2,1.9,0.4,0,1.8,1.3,4.2,3.2,3.2,TBS,ＮＥＷＳ２３,News
2017/3/21,火,23,30,アクセラ,1.6,0.7,0.5,0.8,1.8,2,1.9,0,0,2,2.2,2.2,1.6,3.2,CX,ユアタイム〜あなたの時間〜,News
