date,week,time,duration,product,person,FC,FT,F1,F2,F3-,F3p,MC,MT,M1,M2,M3-,M3p,family,network,program,Genre
2017/3/28,火,20,15,フィット,6.2,2.4,1.9,3.5,6,7.4,7.5,3.4,3.8,5.1,6.9,9.2,11.5,11.2,EX,２０１８ＦＩＦＡＷ杯ロシアアジア地区最終予選,Sports
2017/3/28,火,20,15,フリード,6.4,2.4,2.4,3.5,6,7.8,8.2,3.4,4.3,5.3,6.9,9.9,12.2,11.5,EX,２０１８ＦＩＦＡＷ杯ロシアアジア地区最終予選,Sports
2017/3/28,火,20,30,ヴェゼル ハイブリッド,7.3,2.4,2.4,4,6.3,9.1,11.1,3.4,4.3,5.5,6.9,12.1,16.1,13,EX,２０１８ＦＩＦＡＷ杯ロシアアジア地区最終予選,Sports
2017/3/27,月,23,15,フィット,1.7,0.3,0.5,1.2,1.5,2.2,2,0.4,0.5,0.4,3,2,4.3,3.2,TX,ワールドビジネスサテライト,News
2017/3/27,月,23,15,ヴェゼル ハイブリッド,1.8,0.3,0.5,1.2,1.7,2.2,2,0.4,0.5,0.4,3.2,2,4.6,3.3,TX,ワールドビジネスサテライト,News
2017/3/27,月,19,30,フリード,2.9,0.3,1.4,1.9,2,4.7,7.5,0,0.5,1.4,1.3,4.3,10.5,5.1,TX,ＹＯＵは何しに日本へ？,Variety
2017/3/27,月,6,15,フィット,3.7,2,2.9,2.7,5.5,6,2.3,2.6,1,2.4,4.1,4.9,1.6,7,NTV,ＺＩＰ！,News
2017/3/27,月,6,15,ヴェゼル ハイブリッド,3.7,2,2.9,2.9,5.5,6,2.3,2.6,1,2.4,4.3,4.9,1.6,7.1,NTV,ＺＩＰ！,News
2017/3/26,日,23,30,ヴェゼル ハイブリッド,0.9,0,0,0.6,0.6,0.7,1.9,0,0.5,0.8,1.5,1.7,0.6,1.8,TX,ＳＵＰＥＲＧＴ＋,Variety
2017/3/26,日,23,30,ヴェゼル ハイブリッド,2.5,0,0,1.6,1.9,3.9,4.5,1.1,0.5,1.4,2.5,5.1,4.5,4.4,TBS,ワザビトＢＲＩＤＧＥＯＦＤＲＥＡＭＳ,Sports
2017/3/26,日,20,15,フィット,7.8,6,6.3,6,7.5,10.4,8.4,5.1,4.9,7.9,8.2,9.8,8.4,12.7,NTV,ザ！鉄腕！ＤＡＳＨ！！スペシャル,Variety
2017/3/26,日,20,15,ヴェゼル ハイブリッド,8,6,6.3,6,7.9,10.8,8.8,5.1,4.9,7.9,8.4,10.2,8.4,12.9,NTV,ザ！鉄腕！ＤＡＳＨ！！スペシャル,Variety
2017/3/26,日,20,30,フリード,8.5,7,6.8,6.4,8.5,11.5,8.8,5.8,4.9,8.1,9,10.5,8.8,13.4,NTV,ザ！鉄腕！ＤＡＳＨ！！スペシャル,Variety
2017/3/26,日,17,30,企業,1.5,0.7,0,1,2.3,2.7,1.9,0,1,1.4,1.8,1.9,0.3,3.1,NTV,チカラウタ,Sports
2017/3/26,日,15,30,企業,1.9,1.3,1,0.6,3.6,1.6,1.9,1.1,1,0.8,2.4,2,1.9,3.6,TBS,ＳＡＳＵＫＥ２０１７ナビ完全制覇者は誰だ！？,Variety
2017/3/26,日,10,30,企業,0.3,0,0,0.2,0.3,0.2,0.6,0.7,0,0.4,0.4,0.5,0.6,0.6,TX,出没！アド街ック天国（再）,Travel
2017/3/26,日,9,30,フリード,4.3,1.7,2.4,2.7,6.5,7.4,5.2,0.7,1.5,3.2,4,5.6,4.5,8.7,NTV,シューイチ,Informative
2017/3/25,土,22,15,フィット,2.7,3.7,2.4,2.7,3.2,2.9,1.3,1.8,2.9,3.2,2.9,2.7,1,4.4,CX,土曜プレミアム・映画「怪盗グルーの月泥棒」,Movie
2017/3/25,土,22,15,フリード,2.8,3.7,2.4,2.7,3.3,2.9,1.3,1.8,3.4,3.4,3,2.9,1,4.6,CX,土曜プレミアム・映画「怪盗グルーの月泥棒」,Movie
2017/3/25,土,20,15,フィット,5.9,2,3.4,4.9,7.5,6.8,7.5,9.1,4.9,4.6,5.6,6.6,4.9,8.5,TBS,ジョブチューン電車のヒミツぶっちゃけ３時間ＳＰ！,Variety
2017/3/25,土,20,15,フリード,5.9,2,3.4,4.9,7.4,6.8,7.5,9.1,4.9,4.6,5.6,6.6,4.9,8.4,TBS,ジョブチューン電車のヒミツぶっちゃけ３時間ＳＰ！,Variety
2017/3/25,土,11,30,企業,0.2,0,0.5,0.2,0.1,0.4,0.6,0,0,0,0.2,0.2,0.3,0.4,TX,芸能界ちょっとイイ話スペシャル私を救ってくれた人,Variety
2017/3/24,金,25,30,企業,1.3,0,0,0.6,1.5,2.3,1.6,0.4,0,1.4,1.5,1.9,2.6,2.7,TBS,有吉ジャポン,Variety
2017/3/24,金,24,30,フリード,2.5,0.7,1.5,1.6,2.4,3.9,3.2,0.7,0.5,1.4,3.4,3.4,2.9,4.7,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/24,金,23,15,フリード,2.3,0.3,0,1,2.2,3.9,5.2,0.4,0.5,1,2.7,3.4,4.9,4.5,TBS,ＮＥＷＳ２３,News
2017/3/24,金,23,15,フィット,2.5,0.3,0,1.2,2.3,4.3,5.2,0.4,0.5,1.2,2.7,3.7,5.2,4.7,TBS,ＮＥＷＳ２３,News
2017/3/24,金,23,15,フィット,1.8,0,0.5,0.6,1.8,1.8,2.9,0.7,1,0.8,2.8,3.2,3.2,3.3,TX,ワールドビジネスサテライト,News
2017/3/24,金,23,15,ヴェゼル ハイブリッド,1.8,0,0.5,0.6,1.8,1.8,2.9,0.7,1,0.8,2.9,3.2,3.2,3.3,TX,ワールドビジネスサテライト,News
2017/3/24,金,23,15,フリード,5.5,0.3,1.5,4.3,6.6,7,5.5,2.6,5.9,2.4,6.7,9,7.8,9.6,EX,報道ステーション,News
2017/3/24,金,23,15,フィット,5.5,0.3,1.5,4.3,6.6,7,5.5,2.6,5.9,2.2,6.7,9,7.8,9.5,EX,報道ステーション,News
2017/3/24,金,20,30,フリード,4.3,3.7,6.8,3.9,5.7,5.6,4.5,5.8,2,2.2,3.3,3.9,4.9,7.8,NTV,沸騰ワード１０美人跡取り大集合＆伝説の家政婦ＳＰ,Variety
2017/3/23,木,25,60,NSX,3.5,0,1,2.9,2.2,4.1,2.3,0,2,5.2,5.7,5.1,5.8,7.2,EX,２０１８ＦＩＦＡＷ杯ロシアアジア地区最終予選,Sports
2017/3/23,木,23,30,フリード,1.4,0,0.5,1.2,1.5,1.3,1.3,0.4,0,1.4,2.1,1.5,3.2,2.8,TX,ワールドビジネスサテライト,News
2017/3/23,木,22,15,フィット,1.7,0,0.5,1,1.4,2.9,2.9,0.7,0,0.8,1.8,2.9,3.6,3.2,TX,カンブリア宮殿,Variety
2017/3/23,木,22,15,ヴェゼル ハイブリッド,1.6,0,0.5,1.2,1.4,2.7,2.9,0.7,0,0.4,1.7,2.9,3.6,3.2,TX,カンブリア宮殿,Variety
2017/3/23,木,22,15,フィット,4,2.7,1.9,4.3,5.3,4.3,2.3,2.2,1.5,5,4.5,5.3,1.6,7.3,CX,とんねるずのみなさんのおかげでした全落美ら海ＳＰ,Variety
2017/3/23,木,22,15,フリード,4,2.7,1.9,4.3,5.3,4.5,2.3,2.2,1.5,5,4.4,5.3,1.6,7.3,CX,とんねるずのみなさんのおかげでした全落美ら海ＳＰ,Variety
2017/3/23,木,20,15,フリード,3.6,0.3,1.5,1.6,2.7,6.3,12,1.8,2,1.8,1.5,4.1,11.7,6.4,EX,山村美紗サスペンス・京都〜神戸プロポーズ殺人事件,Drama
2017/3/23,木,20,15,フィット,3.6,0.3,1.5,1.6,2.7,6.3,12,1.8,2,1.8,1.5,4.1,11.7,6.4,EX,山村美紗サスペンス・京都〜神戸プロポーズ殺人事件,Drama
2017/3/23,木,20,15,フィット,4.1,3.3,2.4,3.5,4.9,6.1,5.5,4.7,3.9,1.2,2.4,5.4,5.5,7.1,TBS,ニンゲン観察！モニタリング３時間スペシャル,Variety
2017/3/23,木,20,15,ヴェゼル ハイブリッド,4,3,2.4,3.5,4.8,6.1,5.5,4.7,3.9,1.2,2.3,5.4,5.5,7,TBS,ニンゲン観察！モニタリング３時間スペシャル,Variety
2017/3/23,木,10,15,ヴェゼル ハイブリッド,1,0.3,0,0.6,1,2,0.6,0.7,0.5,1.2,0.8,2,0.3,2.2,EX,２０１７ワールドベースボールクラシック決勝,Sports
2017/3/23,木,10,15,フィット,1,0.3,0,0.6,1,2,0.6,0.7,0.5,1.2,0.8,2,0.3,2.2,EX,２０１７ワールドベースボールクラシック決勝,Sports
2017/3/23,木,6,15,フィット,4.5,2.3,3.9,3.1,7.7,6.3,2.9,4.4,1.5,1.8,5.6,5.4,1.3,8.5,NTV,ＺＩＰ！,News
2017/3/23,木,6,15,ヴェゼル ハイブリッド,4.5,2.3,3.9,3.1,7.7,6.3,2.9,4.4,1.5,1.8,5.6,5.4,1.3,8.5,NTV,ＺＩＰ！,News
2017/3/22,水,24,15,フィット,3.7,0.7,1.9,2.3,4.4,5,4.2,0.4,1,2.6,4.7,6.6,3.9,7.6,EX,マツコ＆有吉の怒り新党,Variety
2017/3/22,水,24,15,ヴェゼル ハイブリッド,3.8,0.7,1.9,2.3,4.6,5,4.2,0.4,1,2.6,4.8,6.8,3.9,7.7,EX,マツコ＆有吉の怒り新党,Variety
2017/3/22,水,23,15,フリード,1.9,0,0,0.8,2,2.3,3.9,0.7,1,1.2,2.4,1.9,4.9,3.5,TX,ワールドビジネスサテライト,News
2017/3/22,水,23,15,フィット,1.9,0,0,0.8,2,2.3,3.9,0.7,1,1.2,2.4,1.9,4.9,3.5,TX,ワールドビジネスサテライト,News
2017/3/22,水,23,15,フリード,1.4,0,0,0.6,1.1,1.6,1.6,0.4,0,1.2,1.6,3.4,2.9,3,TBS,ＮＥＷＳ２３,News
2017/3/22,水,23,15,フィット,1.4,0,0,0.6,1.1,1.8,1.6,0.4,0,1.2,1.6,3.6,2.9,3,TBS,ＮＥＷＳ２３,News
2017/3/22,水,23,30,フリード,3.6,1.3,2.4,3.1,4.3,7.5,4.2,1.1,1.5,1.8,3.9,3.7,2.6,6.5,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/22,水,22,15,フリード,2.9,0.7,1.5,4.1,1.9,3.8,3.9,0.7,2,3.6,2.9,3.6,3.6,5.1,TBS,水曜日のダウンタウン,Variety
2017/3/22,水,22,15,フィット,2.9,0.7,1.5,4.3,1.8,3.8,3.9,0.7,2,3.6,2.9,3.6,3.6,5.1,TBS,水曜日のダウンタウン,Variety
2017/3/22,水,11,15,ヴェゼル ハイブリッド,3.9,0.3,0.5,2.1,2.7,6.3,6.8,0.7,1,2.8,3.6,5.4,13.6,8.5,TBS,２０１７ＷＢＣ準決勝日本ＶＳアメリカ,Sports
2017/3/22,水,11,15,フィット,4.1,0.3,0.5,2.1,2.9,6.3,7.5,0.7,1,2.8,3.9,5.4,14.3,8.8,TBS,２０１７ＷＢＣ準決勝日本ＶＳアメリカ,Sports
2017/3/22,水,8,30,企業,2.9,0.7,1,1,4.6,4.7,5.5,1.1,1,1.2,2.8,3.1,4.2,5.5,EX,羽鳥慎一モーニングショー,Informative
2017/3/21,火,23,15,フィット,1.6,0,0,1.2,1.6,1.6,1.9,0,0,1.2,1.8,2.2,4.9,3.2,TX,ワールドビジネスサテライト,News
2017/3/21,火,23,15,ヴェゼル ハイブリッド,1.6,0,0,1.2,1.6,1.8,1.9,0,0,1.2,1.9,2.4,4.9,3.3,TX,ワールドビジネスサテライト,News
2017/3/21,火,22,15,フィット,1.7,0,0,1.8,1.5,2.2,2.9,0,0,1,2.2,2.4,4.2,3.3,TX,ガイアの夜明け,Variety
2017/3/21,火,22,15,ヴェゼル ハイブリッド,1.7,0,0,1.8,1.5,2.2,2.9,0,0,1,2.2,2.4,4.2,3.3,TX,ガイアの夜明け,Variety
2017/3/21,火,21,15,フリード,5.1,2.3,3.4,5.1,6.5,8.1,5.5,1.8,1.5,4.4,4.6,7,3.9,8.8,TBS,マツコの知らない世界,Variety
2017/3/21,火,21,15,フィット,5.2,2.3,3.4,5.1,6.7,8.3,5.5,1.5,1.5,4.4,4.6,7.1,3.9,9,TBS,マツコの知らない世界,Variety
2017/3/21,火,6,30,フリード,4.2,2.7,1.9,3.5,7.2,5.4,3.2,4,1.5,2.2,4.2,4.8,2.9,7.5,NTV,ＺＩＰ！,News
2017/3/20,月(祝),23,30,フリード,2.5,0,1.5,1,1.8,4.8,4.5,1.5,0.5,2,2.7,4.2,3.2,4.6,EX,橋下×羽鳥の番組,Variety
